index,issueArea,decisionDirection,partyWinning,voteDistribution,respondentType,rouge1,rouge2,rougeL,bert_f1
17,8.0,1.0,0.0,0.75,1,0.4587077449721866,0.25695931477516065,0.2644415917843389,0.6435491442680359
18,9.0,1.0,0.0,0.8888888888888888,1,0.583984375,0.31182795698924737,0.251953125,0.7252564430236816
19,1.0,1.0,0.0,1.0,1,0.5458860759493671,0.2678288431061806,0.25158227848101267,0.6651360988616943
20,12.0,2.0,0.0,0.5555555555555556,1,0.622093023255814,0.32363213038416766,0.29883720930232555,0.6897225379943848
21,2.0,1.0,1.0,1.0,2,0.5762064022933587,0.2974653275944524,0.22551361681796467,0.6488473415374756
22,3.0,2.0,1.0,1.0,1,0.5257575757575758,0.3078089461713419,0.296969696969697,0.6465213298797607
23,1.0,1.0,1.0,0.6666666666666666,2,0.6458752515090543,0.3595166163141994,0.2977867203219316,0.6578276753425598
24,2.0,2.0,1.0,1.0,1,0.4933741080530072,0.23061224489795917,0.2130479102956167,0.6330277919769287
25,8.0,2.0,0.0,1.0,2,0.5911458333333334,0.2972620599739244,0.27343749999999994,0.6411715149879456
26,2.0,1.0,0.0,0.6666666666666666,1,0.42145015105740186,0.23903177004538576,0.23262839879154082,0.661098837852478
27,9.0,1.0,0.0,1.0,3,0.456596035543404,0.25598904859685145,0.2583732057416268,0.6797080039978027
28,7.0,1.0,1.0,0.7777777777777778,3,0.27613028682547397,0.11873479318734795,0.14487117160913954,0.6058565378189087
29,10.0,2.0,0.0,0.6666666666666666,3,0.23228010247651582,0.15226689478186484,0.15542271562766866,0.6320253014564514
30,2.0,2.0,1.0,0.5555555555555556,1,0.6020236087689713,0.3375527426160338,0.28836424957841483,0.683088481426239
31,2.0,2.0,1.0,0.7777777777777778,1,0.5713062098501072,0.28632661808829835,0.24582441113490364,0.6304592490196228
32,2.0,1.0,1.0,1.0,2,0.546337515176042,0.29809639530174165,0.21367867260218534,0.65970778465271
33,2.0,2.0,1.0,0.7777777777777778,1,0.6362735381565907,0.27976190476190477,0.22398414271555994,0.676825761795044
34,9.0,1.0,0.0,0.8888888888888888,2,0.5879682179341656,0.2863636363636364,0.2894438138479001,0.6531044840812683
35,8.0,2.0,1.0,1.0,2,0.31911357340720214,0.16971713810316139,0.1883656509695291,0.6172270178794861
36,2.0,1.0,1.0,0.6666666666666666,2,0.4954545454545454,0.25295723384895363,0.2590909090909091,0.5622806549072266
37,1.0,2.0,1.0,0.5555555555555556,1,0.35315985130111527,0.1758139534883721,0.2016728624535316,0.6279829144477844
38,8.0,2.0,1.0,1.0,2,0.5605900948366701,0.34282700421940926,0.26659641728134886,0.6713337898254395
39,1.0,1.0,1.0,0.8888888888888888,2,0.5831842576028622,0.2555223880597015,0.20512820512820512,0.6259677410125732
40,2.0,2.0,1.0,0.5555555555555556,2,0.3382187147688839,0.1659142212189616,0.17474633596392333,0.6802260875701904
41,8.0,1.0,0.0,1.0,1,0.6574018126888217,0.33514821536600115,0.25619335347432026,0.6492378115653992
42,10.0,2.0,0.0,0.5555555555555556,1,0.39801611903285805,0.19665012406947888,0.17792932424054556,0.6075881123542786
43,10.0,2.0,1.0,1.0,1,0.5815217391304349,0.2100108813928183,0.2076086956521739,0.6073409914970398
44,8.0,2.0,0.0,1.0,2,0.42330558858501777,0.22976190476190478,0.23781212841854935,0.6662439107894897
45,1.0,1.0,0.0,0.8888888888888888,1,0.592274678111588,0.3236276849642004,0.2565569861707201,0.6273177862167358
46,8.0,1.0,1.0,1.0,1,0.2705078125,0.13294232649071355,0.14257812499999997,0.628479540348053
47,2.0,1.0,0.0,1.0,0,0.48275862068965514,0.25023342670401494,0.2572227399813607,0.6793989539146423
48,2.0,1.0,0.0,1.0,1,0.5810877021068104,0.31976459048553213,0.24301812836844686,0.6657424569129944
49,2.0,1.0,1.0,1.0,2,0.5578544061302682,0.2701458173445894,0.29578544061302686,0.6479501128196716
50,1.0,2.0,1.0,0.7777777777777778,1,0.6440111420612813,0.3368655883993308,0.3142061281337048,0.6688774824142456
51,8.0,1.0,0.0,0.8888888888888888,3,0.6038647342995169,0.35396518375241787,0.2917874396135266,0.6462655067443848
52,8.0,2.0,1.0,1.0,1,0.6104417670682731,0.33145615446500404,0.3357429718875502,0.6582380533218384
53,2.0,2.0,0.0,0.5555555555555556,3,0.6303387334315169,0.35577395577395576,0.30633284241531666,0.6796723008155823
54,9.0,2.0,0.0,0.6666666666666666,1,0.5992337164750958,0.2563315425940138,0.2528735632183908,0.6709926724433899
