Folder Name,respondentType,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
top_k_50,3,0.5645281048600526,0.2813830350848533,0.2458272845133053,0.6492787671613169,0.689880310179113,0.770906167113366,0.6097734123780887,0.7291055050915903,0.7478673867532215,0.7144131178340666
top_k_50,4,0.5638762124280684,0.2783561505681994,0.242733859117261,0.6520316421985626,0.7187988221645355,0.7214302072027833,0.6257522347425134,0.750424628065512,0.6829307494846393,0.6951344548738619
top_k_1500,0,0.5393278675545492,0.2658522040302338,0.2330523395267304,0.6569116512934366,0.6681691408157349,0.7954201088997999,0.6380609570010038,0.7351720403149572,0.7102954576873398,0.719737140975775
top_k_1500,1,0.5522208997657873,0.2720987529019121,0.2460551838786764,0.649686400207781,0.6979784948691246,0.7321552741422609,0.6159153009415901,0.736184835905936,0.7063834583444402,0.6976597173335568
top_k_1500,2,0.5568527870829681,0.2754322133261446,0.248759603254376,0.6479681994145116,0.6892484134684006,0.6995331905874126,0.6109685872042074,0.7260990504534303,0.6812509977180192,0.6794629564907674
top_k_1500,3,0.549609352014016,0.2749372737813937,0.2438847235245902,0.6482646923798782,0.6939017644950322,0.6745536296354303,0.6079163749368403,0.7298245225537817,0.6639183674344553,0.6690532236401269
top_k_1500,4,0.5677320429853705,0.2749552080119181,0.249867483611163,0.6301896095275878,0.7385394811630249,0.7226133798109362,0.6202525715858938,0.7534705481402802,0.6903458187700012,0.6966705795767779
top_k_2000,0,0.5559070316492295,0.2970109666739452,0.2739679066492189,0.6687301695346832,0.7007621824741364,0.564737284357991,0.6943816424335739,0.7678687670496199,0.5489002446163692,0.6439719846143885
top_k_2000,1,0.5588372721491196,0.2756587276944758,0.2482091299668739,0.649294734241501,0.7031591770149046,0.7111017953118833,0.6116873569127173,0.7328991562815869,0.6902355167760722,0.6864809563205649
top_k_2000,2,0.5617765512603868,0.2744509035195779,0.2492345157637153,0.6488150780399641,0.6918442019571861,0.7127889357637707,0.6164321417791705,0.7264900663039678,0.6888425230318246,0.6861384167196833
top_k_2000,3,0.5478339883293543,0.2721501541318322,0.2436727243848216,0.6515100015388741,0.6928914415312337,0.7043257161594411,0.6077456006881244,0.7273742086308986,0.6827433465902427,0.6805472180171768
top_k_2000,4,0.5203813311359304,0.2546328276857317,0.2248508214756225,0.6453774273395538,0.7283524155616761,0.5774145010314409,0.6540362091021625,0.7570916647536432,0.5996083207908647,0.6470376739195278
liberal,0,0.5864728133665271,0.2917864729984226,0.2608911339521533,0.6563488443692526,0.663996289173762,0.6402795514958445,0.6188409103224152,0.7264739114744238,0.6364439144116818,0.6555095719260913
liberal,1,0.5649005801981108,0.2762553656757713,0.2375002069959335,0.64160553582253,0.6829093480783124,0.6821664584759675,0.5954290711912447,0.7037013383750693,0.6686840700024641,0.6624952345111864
liberal,2,0.5711201865608341,0.2771078195495794,0.2390922425882612,0.6426703780889511,0.6738439789041877,0.6927358420981018,0.5985388297804076,0.7061849698561439,0.6776896987881766,0.6687873351307075
liberal,3,0.5609849332241649,0.2736955906032235,0.2336870178290442,0.6435236236551306,0.6787421028692644,0.6557455006797992,0.5864090927331926,0.7089255269749222,0.6443212296846773,0.6488503375181478
