Folder Name,decisionDirection,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
temperature_0.7,2.0,0.5582347281418633,0.277390117643724,0.2490310949382334,0.6467470740017138,0.6985943873723348,0.7345642425926594,0.6148997732164045,0.7401896630439584,0.7037720886815065,0.6983564418836322
temperature_0.5,1.0,0.5571521791467958,0.2748743896673878,0.250520573687183,0.649580146747691,0.7060726819602587,0.7053251253596753,0.620183363987461,0.7321195117346585,0.6739286223549837,0.6828891558591945
temperature_0.5,2.0,0.5575793766942694,0.2780013249583418,0.2481007612460773,0.6473231273784972,0.7013318854465819,0.70505655708094,0.614716385447149,0.7315237395555555,0.6748681070505941,0.6815411972835597
temperature_0.9,1.0,0.5590460036427867,0.2771933864180735,0.2502293393023561,0.6517088008290939,0.7008051069183204,0.7153896180880305,0.6219263630083608,0.731907354310577,0.6843090290359226,0.6883830911107227
temperature_0.9,2.0,0.5537623233788301,0.2731635073089861,0.2436866738735744,0.6467072988811292,0.6998359939508271,0.7227156206854617,0.6167610295192361,0.7309647798217739,0.6948400854240624,0.6913203788626335
temperature_0.4,1.0,0.5632415130373719,0.278975563962601,0.2523299646013859,0.6513811593292324,0.7020702184611605,0.7028223499328915,0.6213339550161148,0.73313026176357,0.6751367200968572,0.6831058217023583
temperature_0.4,2.0,0.5570908367687168,0.2777692453154217,0.2498407749392566,0.6468413842351813,0.6991499009885286,0.6985564083212054,0.6142992704140379,0.7247288779847787,0.6675213719786819,0.676276482174676
temperature_0.8,1.0,0.5567981753567044,0.2748579009094308,0.2502190815931731,0.6495340577973664,0.7056035415361855,0.6822590299994519,0.6201944099902371,0.7297660991828737,0.661317015705673,0.6733841387195589
temperature_0.8,2.0,0.5585739180349799,0.2777764859900792,0.2476030481328634,0.6479824584827089,0.6951974444222032,0.7178706562790831,0.6074912461537099,0.7288620959474594,0.6968235474919859,0.6877618864680596
temperature_0.6,1.0,0.554411479157264,0.275314288695521,0.2481490049045938,0.6506066135777772,0.7026252633970202,0.7235378710330395,0.6283072822998059,0.7328293933633002,0.6933644704656496,0.6945097542904487
temperature_0.6,2.0,0.5563455669808931,0.2767697634910082,0.2473723231162695,0.6475554018689875,0.6936752758528056,0.7186778416005206,0.6123832141162157,0.7293646482872084,0.6919656911075083,0.6880978487778632
mixed,1.0,0.5664265938151378,0.2775496674197047,0.241948117234123,0.6456793248653412,0.6937665702732465,0.7318018361481216,0.6138393326513926,0.721428010902031,0.7119059568485899,0.6947437841375338
mixed,2.0,0.569578170788988,0.2796589412980023,0.2393479297543508,0.6440525100942244,0.6876207992695925,0.7341382198899581,0.6031226387865317,0.7094738070699929,0.7164434652362044,0.6907945327456718
all,1.0,0.5617683378799088,0.2778797516330901,0.2540106064394946,0.6518436097006761,0.5190971979430614,0.693876381579313,0.6208037524838069,0.7348970198236824,0.6721295957472456,0.680426687408512
all,2.0,0.5562924589332737,0.2771445012457565,0.2479235056825909,0.6472673798862256,0.5100159956174984,0.7051346417482155,0.6173676354625844,0.7234539347429343,0.6753723601362166,0.6803321430224877
conservative,1.0,0.5423020743523338,0.2639398762456675,0.2350509315146322,0.6450651561030905,0.6842687049212347,0.6472290918138682,0.6147445919669162,0.7245883560463167,0.6144586491169945,0.6502551722360239
conservative,2.0,0.5373930611293848,0.2649681807170536,0.2332538462703001,0.6412178633505838,0.6858580786930887,0.7007415998298542,0.6096487284758471,0.7270250320971499,0.6739961769251139,0.6778528843319912
mixed_liberal_75,1.0,0.5677912936134321,0.2758276287932346,0.2373227559272662,0.6445943101216819,0.6919891825159088,0.6831780070799541,0.6264359934230214,0.7075906484124852,0.6651796347255341,0.6705960709102486
mixed_liberal_75,2.0,0.560115422082183,0.2740852909643139,0.237206654462875,0.6416286673462182,0.6821752811733045,0.6957875589144583,0.6142726059853424,0.7027455315567596,0.6772542877253739,0.6725149960454835
top_p_0.4,1.0,0.5484612102696781,0.2726076729008805,0.2474086679377824,0.6515744237499382,0.704552003445516,0.7011916827500493,0.624855744708953,0.7372894932108162,0.6597341651778608,0.6807677714619198
top_p_0.4,2.0,0.5471841678365582,0.2718188485573092,0.2443308926374587,0.6458921279823571,0.6963257004294479,0.702767430957576,0.6135803518801821,0.7314921785671802,0.6631151232988319,0.6777387711759425
