Model Name,voteDistribution,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
top_k_50,0.5714285714285714,0.3500585400999684,0.1704201086036887,0.1820300314806551,0.6259056627750397,0.6774320006370544,0.5079933343441885,0.7015847855724242,0.8394156898002252,0.3161262639478683,0.5912800184161765
top_k_50,0.625,0.5287740743232888,0.2549467241033893,0.2339055598323166,0.6468974053859711,0.7260669589042663,0.7195645620453227,0.6546496908230298,0.7596762664806402,0.6637646681332993,0.699413796870573
top_k_50,0.6666666666666666,0.5715455236013921,0.2764918452340413,0.2437964821426381,0.6469271844083613,0.7168301972475919,0.7956989873230697,0.6114552644708965,0.7433390710773119,0.7599939600101535,0.7276218207203579
top_k_50,0.7142857142857143,0.5972906403940886,0.2589395807644882,0.2266009852216748,0.6521323323249817,0.6496688723564148,0.3439820152168618,0.5178621786619803,0.694634271465462,0.4778338823670081,0.508578086927828
top_k_50,0.75,0.5444192957771724,0.2718933780462713,0.2496583480222008,0.6492972924159124,0.7083404912398412,0.6991110278756919,0.6257378949625068,0.7268772522300981,0.6209073386131203,0.6681583784203542
top_k_50,0.7777777777777778,0.5691410498303359,0.2788119880620757,0.242791980348859,0.649313657283783,0.6928398156166077,0.7553832454177548,0.587508224745614,0.7169714926028692,0.7458061952075064,0.7014172894934362
top_k_50,0.875,0.5820418668511905,0.2756801029313118,0.2411299892103542,0.6309328993161519,0.6730663100878398,0.6278733844681461,0.5911644058504383,0.7486112798172303,0.6282200913445269,0.6489672903700855
top_k_50,0.8888888888888888,0.5649870774346365,0.2824575167585518,0.2591251478714984,0.6558804168845668,0.7143945802341808,0.6459470457493691,0.6285351221546751,0.7243602089759298,0.6492249091588627,0.6620168215097092
top_k_50,1.0,0.5712313400604463,0.286032125538367,0.2556331609329914,0.6504048894522554,0.6867446826171066,0.7229575972010863,0.6206954878548557,0.7283826185718955,0.6930590724112947,0.6912736940097831
top_k_1500,0.5555555555555556,0.5353674839914738,0.261565927932072,0.2332306480003648,0.6485644808602989,0.7012178777554713,0.7357568783188813,0.6031791359914114,0.7274886769932076,0.7155818323783225,0.6955016309204557
top_k_1500,0.5714285714285714,0.5296047347703905,0.2338265936652434,0.189553101397148,0.6251148283481598,0.6399243772029877,0.84114371456303,0.603780533613888,0.7479957047157594,0.8298115263820589,0.755682869818684
top_k_1500,0.625,0.5402712206593454,0.2642023966615266,0.2424560941667089,0.6445729106664657,0.7244152367115021,0.7338548119224373,0.6375809314024108,0.7257057619668607,0.6872904180427126,0.6961079808336053
top_k_1500,0.6666666666666666,0.5493042694859489,0.2674565643788463,0.2393466180786578,0.6421158682216298,0.7075003336776386,0.7333389612939242,0.6193703377581146,0.7488155086879599,0.7208769026011755,0.7056004275852935
top_k_1500,0.7142857142857143,0.5457184325108854,0.252906976744186,0.2249637155297532,0.6394514441490173,0.6851968169212341,0.8956504751070071,0.6472241237017071,0.7512509083328979,0.8531725745930876,0.7868245204336749
top_k_1500,0.75,0.5709475241667108,0.2854787230081796,0.2520767542186882,0.6522127733780787,0.7053098128392146,0.7236439501400126,0.5948853132875098,0.7280155725657705,0.705044599157728,0.6878973587877553
top_k_1500,0.7777777777777778,0.5446226253062616,0.2684605822327405,0.2429632148005495,0.6442546617984771,0.6906745600700378,0.7166323797927862,0.5977206787672056,0.7295211338662944,0.7008646580765604,0.6861847126257117
top_k_1500,0.875,0.5895032388261754,0.2874236215050266,0.2465800113611047,0.6369383414586385,0.7002956509590149,0.7465593099735727,0.5850679427817929,0.7530825661980741,0.7049922029601796,0.6974255054784048
top_k_1500,0.8888888888888888,0.559135919195429,0.2815837507049329,0.2608048584655648,0.65386347879063,0.6878508275205438,0.6287300400706483,0.6194512105852715,0.7283123767668006,0.6357757692928604,0.6530673491788953
top_k_1500,1.0,0.5612174289354908,0.2798853118994741,0.2535051477256099,0.6511639785968651,0.686864066932161,0.6986817623414234,0.6204024811873956,0.7303692433640596,0.6725845861361484,0.6805095182572568
