Model Name,issueArea,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
top_k_100,7.0,0.5523945222411379,0.2708235665009951,0.243662407133196,0.6379735427243369,0.7113227333341327,0.7678216026684932,0.619908059606315,0.7391866898118309,0.7552200813775435,0.7205341083660457
top_k_100,8.0,0.5661626630996334,0.283206045218554,0.2544267709892333,0.6517190803652224,0.6949689543765524,0.7033330471860614,0.6167778808918012,0.7314406372672281,0.6669351068786598,0.6796216680559376
top_k_100,9.0,0.5779509195728711,0.2920586659372033,0.2637474592491712,0.6552811022847891,0.6905692480504513,0.707624390352965,0.609249337111363,0.7291094381375052,0.6788183485168207,0.6812003785296634
top_k_100,10.0,0.564573269564959,0.2726816776681428,0.2437666769537445,0.6439823596565811,0.7022818194495307,0.6277623230641167,0.591009009653697,0.7458473288412024,0.615325567084095,0.6449860571607778
top_k_100,12.0,0.6061565853603357,0.2950162080326725,0.2546891525183193,0.657310426235199,0.676018550992012,0.7244631170467655,0.6280350234020788,0.7179048871039829,0.6656916486067813,0.6840236690399022
top_k_100,13.0,0.4150694516801529,0.2156199199355842,0.1987224213133661,0.6319771210352579,0.7080202202002207,0.5412408726670506,0.65239561690712,0.8123436870539384,0.5558251388664445,0.6404513288736383
top_k_100,14.0,0.6491697911087306,0.3538873994638069,0.2999464381360471,0.6861775517463684,0.7328299880027771,0.8922101293648919,0.7046643970946722,0.7953496987621934,0.8680923269787069,0.8150791380501161
top_k_1000,1.0,0.5669394144099434,0.2739079080446686,0.2442299994160449,0.6521993366571573,0.695963877439499,0.7221642684240555,0.6169954179704585,0.7219970251070983,0.6948293560589052,0.6889965168901294
top_k_1000,2.0,0.5461333872465786,0.272297488626447,0.2416537232513701,0.6468041327264574,0.697923567559984,0.7059929713821864,0.6027056996292058,0.7326664536965819,0.6795331900590535,0.6802245786917569
top_k_1000,3.0,0.5355764625241445,0.267407957246405,0.2454979218597914,0.6422291815280914,0.7294177909692129,0.7320986493436354,0.5716431953457353,0.7377414840334705,0.6938537456683949,0.683834268597809
top_k_1000,4.0,0.5720380498393632,0.2747169954057079,0.2418448029296563,0.6448664605617523,0.7129489570856095,0.775062240983792,0.6220836232814071,0.717234897975441,0.7624595658485575,0.7192100820222994
top_k_1000,5.0,0.5541462036299095,0.2681842123692004,0.2409681674557588,0.6490961313247681,0.6754086196422577,0.7637083319291028,0.5594183772286941,0.7342743742636108,0.7398297639777972,0.6993077118498012
top_k_1000,6.0,0.5271039833488045,0.2658668315863915,0.2427799534801737,0.6553290486335754,0.6954824990696378,0.771037556563517,0.6545600674461602,0.733483091960423,0.687263038726545,0.7115859386741613
top_k_1000,7.0,0.5627480240707692,0.2742271875321825,0.2431624835416208,0.6364651279790061,0.7262037311281476,0.6535956275040735,0.6169377702458378,0.75607067681078,0.6560273172971814,0.6706578479644681
top_k_1000,8.0,0.5615116323827781,0.2774034475091801,0.2508409576549311,0.6492057749326678,0.688042251960091,0.6970003629229141,0.6155675961130351,0.7309653416788774,0.6657259707561431,0.6773148178677424
top_k_1000,9.0,0.5785656439143173,0.2879259449067498,0.2602379350971449,0.6561396811157465,0.6829011994414032,0.7119599967475876,0.608085557157722,0.7339816078598511,0.6888700538771051,0.6857243039105664
top_k_1000,10.0,0.5674846088989535,0.270860641408594,0.240675609898607,0.6485603186819289,0.7046690075485794,0.7083907951838007,0.5846956663462627,0.7275969398910797,0.7192146680224376,0.6849745173608951
top_k_1000,12.0,0.5724630734514893,0.2827973454446943,0.251170898796517,0.6522300764918327,0.6967289224267006,0.6197327965428088,0.6280831451545301,0.6971524937856647,0.6475449484255332,0.6481283459771342
top_k_1000,13.0,0.4635890486609396,0.2313130373937223,0.2019899225356285,0.6265824238459269,0.7003840108712515,0.6319461970060622,0.6295095544236329,0.7142704106542147,0.5923208781858168,0.6420117600674317
top_k_1000,14.0,0.341692789968652,0.2511773940345368,0.2617554858934169,0.6773886680603027,0.7975015640258789,0.809743792431821,0.8469968639173089,0.8536569592458666,0.626315307296495,0.7841782307228728
