Model Name,partyWinning,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
liberal,0.0,0.567113925307096,0.2727014377403381,0.2381676007721544,0.6468728138133883,0.6784774288535118,0.6942650639211735,0.5948147040980433,0.703881821058331,0.6744635443477437,0.666856283356323
liberal,1.0,0.566158824762765,0.2780850934129765,0.2373910392846726,0.6398711897957493,0.67921668324672,0.678467225261629,0.5955449221504762,0.7073494251931486,0.6676783223914349,0.6622599737491721
mixed_conservative_75,0.0,0.5628743520129383,0.2707755640179918,0.2383234474027039,0.6455713889251152,0.690459429907302,0.737628049604203,0.6108961199690679,0.7111077772002217,0.7273185215818126,0.6967376170888263
mixed_conservative_75,1.0,0.5686703439089797,0.2786638586874936,0.2394618606301265,0.6428152673681017,0.684860944412124,0.7349617559908369,0.6075041206977683,0.7175776879225944,0.7179851027089388,0.6945071668300347
temperature_0.7,0.0,0.5618252414904734,0.2747311665440701,0.2503068236016456,0.651290953780214,0.7033837061996261,0.7141235218953281,0.618924557065586,0.739747751140464,0.6848011761630146,0.6893992515660982
temperature_0.7,1.0,0.563879570762188,0.2803034766778227,0.2504147103155525,0.6467002660455838,0.7007154422746578,0.737001900008764,0.6158530467795496,0.7351755459518755,0.7091353086486342,0.6992914503472057
temperature_0.5,0.0,0.5558447556572365,0.272541369269337,0.2489144778607162,0.65096206497401,0.705969039661189,0.7144844671878151,0.6180944964874765,0.7304241294247239,0.6962647198244801,0.6898169532311239
temperature_0.5,1.0,0.5582022541074306,0.2786465487500573,0.2494465563715957,0.6470207697908643,0.70232274481948,0.7001557293302599,0.6169241349057938,0.7325581549246952,0.6626024883383799,0.6780601268747822
temperature_0.9,0.0,0.5641996885098759,0.275083301948421,0.2488815574338847,0.6533085945993662,0.6996978626896938,0.7315834752164846,0.6133718716136117,0.7318475847882993,0.7065068851594943,0.6958274541944726
temperature_0.9,1.0,0.5520168307703677,0.2750993601422521,0.245705718095437,0.6468282699584961,0.7006259342314491,0.7125126889939591,0.6224062004827023,0.7311829656316149,0.6807579380356242,0.6867149482859751
temperature_0.4,0.0,0.5561826667060431,0.272672988845747,0.2497389112688553,0.6513210376724601,0.7003282575557629,0.7009555347757676,0.6227177667511739,0.7273423020573885,0.6733444044082355,0.6810900019981413
temperature_0.4,1.0,0.5621213884149732,0.2814158276470795,0.2517329594919184,0.647769067656826,0.7006678692052062,0.700407237681729,0.6149379635661901,0.7295158783456303,0.6699923550223091,0.6787133586539646
temperature_0.8,0.0,0.5545468454282122,0.2719082387459502,0.2497945536471722,0.6512522166594863,0.7047186049943169,0.6972618377537283,0.6178608206135711,0.7349528007409392,0.6824526433407018,0.6831320256122351
temperature_0.8,1.0,0.5594413922850959,0.2787963005809042,0.2483484895634376,0.6473591498925653,0.6977279644616893,0.7027344508469837,0.6112582056716727,0.7262351481371226,0.6783911595174298,0.6796547410433023
temperature_0.6,0.0,0.5540876188726852,0.273377906485239,0.2470736520745454,0.6514638603354493,0.700436777745684,0.744990187570422,0.6297645134549728,0.7347874813874872,0.7142473417699983,0.7059473810457201
temperature_0.6,1.0,0.5561393557893017,0.2775300512337971,0.2481070709150075,0.6476934115651628,0.6966236938053454,0.7080337776148836,0.6147350349361009,0.728988815201807,0.6809471087543673,0.6831761841267897
mixed,0.0,0.5640014006603067,0.2715928656276173,0.23829910198979,0.6455769715830684,0.6909599758995076,0.7360095492037217,0.6067136092855568,0.7180611042014403,0.7224755776193529,0.6958149600775179
mixed,1.0,0.5702683868384473,0.282464735023636,0.2418341946853254,0.6444286477397865,0.6903505741710394,0.73140180364037,0.609089702045069,0.7136519489143762,0.7098322179823467,0.6909939181455405
all,0.0,0.5539969662009245,0.2716985812458395,0.2499376002768446,0.6515877489000559,0.5095095844008029,0.6867244825332515,0.6214996418537257,0.7331670180663754,0.6636475111366124,0.6762596633974912
all,1.0,0.5615753177744832,0.2806325357287578,0.2513266443761461,0.6483081161136358,0.5169920687524365,0.7067827724665834,0.6176688113286722,0.7266459806388649,0.6793204354545648,0.6826044999721713
conservative,0.0,0.5481022732847526,0.2644745265792116,0.2355654696690623,0.6469322933504978,0.684393911001583,0.692246119955607,0.6119118093184612,0.7252958327902177,0.6643027629677307,0.6734391312580041
